emp01,9901,1,good,data2,contract,data3
emp01,9902,2,good,data2,contract,data3
emp01,9903,1,good,data2,permanent,data3
emp01,9904,3,good,data2,contract,data3
emp02,9905,1,good,data2,permanent,data3
emp01,9906,2,good,data2,permanent,data3
emp01,9907,3,good,data2,permanent,data3
emp02,9908,2,good,data2,permanent,data3
emp03,9909,1,good,data2,contract,data3
emp03,9910,2,good,data2,contract,data3
emp04,9911,1,good,data2,permanent,data3
emp03,9912,3,good,data2,contract,data3
emp04,9913,2,good,data2,permanent,data3
emp04,9914,3,good,data2,permanent,data3
emp02,9915,3,good,data2,permanent,data3
emp04,9916,4,good,data2,permanent,data3
emp05,9917,1,bad,data2,permanent,FAILB4
emp05,9918,2,good,data2,permanent,data3
emp05,9919,3,good,data2,permanent,data3
